url_path,views_total,views_unique
/jsilveyra/mag-analyst,9,4
/jsilveyra/mag-analyst/projects,3,1
/jsilveyra/mag-analyst/blob/main/explanation-document.md,2,2
/jsilveyra/mag-analyst/blob/main/README.md,1,1
"/jsilveyra/mag-analyst/blob/main/articles/2023, Silveyra, JOM, A physically based model for soft magnet's anhysteretic curve.pdf",1,1
/jsilveyra/mag-analyst/commits/development,1,1
/jsilveyra/mag-analyst/edit/main/README.md,1,1
/jsilveyra/mag-analyst/issues,1,1
/jsilveyra/mag-analyst/pulls,1,1
/jsilveyra/mag-analyst/tree/development,1,1
